Batting Average (bin),height weight ratio,HR is 0,Highest BA,BA is 0,Search for name BA,Search for name HR,Right Handed,Home Runs,Home Runs ,Home Runs (bins of 20),Number of Players,Weight ranges (pounds),Weight (lb) ,Batting Average,Handedness,Height (inches),Name,Weight
0.22,0.46,True,False,False,True,True,False,0,0,0,1,150,150,0.227,Both,69,Larry Lintz,150
0.24,0.412121212,False,False,False,True,True,True,2,0,0,1,165,165,0.248,Right,68,Ron Theobald,165
0.00,0.4,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,72,Dewey Robinson,180
0.24,0.442424242,False,False,False,True,True,True,13,10,0,1,165,165,0.246,Right,73,Rafael Santana,165
0.26,0.411764706,False,False,False,True,True,False,30,30,20,1,170,170,0.258,Both,70,Jerry Hairston,170
0.00,0.417647059,True,False,True,True,True,True,0,0,0,1,170,170,0,Right,71,Tony Arnold,170
0.00,0.385,True,False,True,True,True,False,0,0,0,1,200,200,0,Left,77,Jeff Schattinger,200
0.00,0.452941176,True,False,True,True,True,True,0,0,0,1,170,170,0,Right,77,Ike Brookens,170
0.22,0.394736842,False,False,False,True,True,True,13,10,0,1,190,190,0.229,Right,75,Tommie Aaron,190
0.24,0.405555556,False,False,False,True,True,True,13,10,0,1,180,180,0.243,Right,73,Steve Dillard,180
0.00,0.4625,True,False,True,True,True,True,0,0,0,1,160,160,0,Right,74,Win Remmerswaal,160
0.00,0.379487179,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,74,Jeff Peterek,195
0.26,0.37,False,False,False,True,True,True,271,270,260,1,200,200,0.268,Right,74,George Scott,200
0.00,0.384615385,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,75,Jeff Shaver,195
0.22,0.405555556,False,False,False,True,True,True,11,10,0,1,180,180,0.231,Right,73,Ken Walters,180
0.22,0.352380952,False,False,False,True,True,True,268,260,260,1,210,210,0.225,Right,74,Gorman Thomas,210
0.26,0.394594595,False,False,False,True,True,True,10,10,0,1,185,185,0.27,Right,73,Paul Dade,185
0.24,0.373056995,False,False,False,True,True,False,188,180,180,1,190,190,0.247,Left,72,Darrell Porter,193
0.21,0.429411765,True,False,False,True,True,False,0,0,0,1,170,170,0.223,Left,73,Tim Johnson,170
0.21,0.424242424,False,False,False,True,True,True,10,10,0,1,165,165,0.216,Right,70,Fred Stanley,165
0.26,0.451612903,False,False,False,True,True,False,15,10,0,1,155,155,0.26,Both,70,Larry Bowa,155
0.26,0.405714286,False,False,False,True,True,False,12,10,0,1,175,175,0.27,Left,71,Tim Corcoran,175
0.24,0.379487179,False,False,False,True,True,False,146,140,140,1,195,195,0.25,Left,74,Jim Spencer,195
0.24,0.37,False,False,False,True,True,False,27,20,20,1,200,200,0.257,Left,74,Pete LaCock,200
0.15,0.36,False,False,False,True,True,True,7,0,0,1,200,200,0.156,Right,72,Carl Morton,200
0.22,0.385026738,False,False,False,True,True,True,24,20,20,1,185,185,0.24,Right,72,Gary Gray,187
0.29,0.43125,False,True,False,True,True,False,31,30,20,1,160,160,0.307,Left,69,Matty Alou,160
0.00,0.379487179,True,False,True,True,True,False,0,0,0,1,195,195,0,Both,74,Pete Filson,195
0.26,0.424242424,False,False,False,True,True,False,77,70,60,1,165,165,0.26,Left,70,Jim Dwyer,165
0.22,0.405555556,False,False,False,True,True,False,41,40,40,1,180,180,0.235,Left,73,Dalton Jones,180
0.26,0.44375,False,False,False,True,True,True,41,40,40,1,160,160,0.274,Right,71,Rennie Stennett,160
0.00,0.394736842,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,75,Jim Gideon,190
0.22,0.389473684,False,False,False,True,True,True,15,10,0,1,190,190,0.234,Right,74,Jerry May,190
0.22,0.383783784,False,False,False,True,True,True,20,20,20,1,185,185,0.225,Right,71,Rich McKinney,185
0.26,0.384615385,False,False,False,True,True,False,32,30,20,1,195,195,0.259,Left,75,Clint Hurdle,195
0.26,0.384615385,False,False,False,True,True,True,66,60,60,1,195,195,0.258,Right,75,Mike Andrews,195
0.22,0.378947368,False,False,False,True,True,True,19,10,0,1,190,190,0.239,Right,72,Bobby Clark,190
0.00,0.4,True,False,True,True,True,False,0,0,0,1,185,185,0,Left,74,Jeff Twitty,185
0.26,0.353488372,False,False,False,True,True,True,196,190,180,1,215,215,0.258,Right,76,Cliff Johnson,215
0.00,0.37,True,False,True,True,True,False,0,0,0,1,200,200,0,Both,74,Steve Cummings,200
0.26,0.363636364,False,False,False,True,True,True,159,150,140,1,205,205,0.274,Right,76,Donn Clendenon,209
0.24,0.374358974,False,False,False,True,True,True,29,20,20,1,195,195,0.255,Right,73,Charlie James,195
0.28,0.374358974,False,False,False,True,True,True,218,210,200,1,195,195,0.277,Right,73,Bob Horner,195
0.24,0.417142857,False,False,False,True,True,True,14,10,0,1,175,175,0.241,Right,73,Tom Veryzer,175
0.00,0.394444444,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,71,Jose Cecena,180
0.19,0.411764706,False,False,False,True,True,True,9,0,0,1,170,170,0.205,Right,70,George Smith,170
0.24,0.379487179,False,False,False,True,True,True,33,30,20,1,195,195,0.244,Right,74,Jim Essian,195
0.22,0.4125,False,False,False,True,True,True,3,0,0,1,160,160,0.239,Right,66,Onix Concepcion,160
0.24,0.43125,False,False,False,True,True,False,8,0,0,1,160,160,0.256,Left,69,Boots Day,160
